Width,Height,Type,Merging Num,Avg Intensity of Defect,Angle of Min Box,Area of Defect,Area of Min Box,Border Pixel,Compactness,AR (Aspect Ratio) of Box,AR of Min Box,Rectangularity,Dispersion,Label
15,12,1,0,36.2246,-90,138,154,41,0.0821,1.25,1.2727,0.8961,14.9993,1
4,6,1,0,45,-78.6901,14,12.9231,12,0.0972,1.5,2.3333,1.0833,15.0486,0
24,13,1,0,51.2782,-66.0375,133,236.5361,57,0.0409,1.8462,2.4896,0.5623,17.5224,1
11,6,1,0,53,-90,47,50,22,0.0971,1.8333,2,0.94,11.3502,1
11,7,1,0,42.8049,-66.0375,41,52.165,24,0.0712,1.5714,2.3913,0.786,7.0079,1
23,21,1,1,55.5895,-41.8202,95,239.5724,57,0.0292,1.0952,3.022,0.3965,21.5271,1
17,12,1,0,54.2195,-4.3987,123,171.653,49,0.0512,1.4167,1.5547,0.7166,21.739,1
21,9,1,0,53.0556,-86.9872,126,157.232,49,0.0525,2.3333,2.5638,0.8014,21.712,1
13,13,1,0,42.2727,-26.5651,99,118.8,36,0.0764,1,1.2273,0.8333,13.5291,1
5,7,1,0,46.76,-63.435,25,23.4,15,0.1111,1.4,1.4444,1.0684,5.8186,1
28,22,1,1,62,-45,186,429.9999,65,0.044,1.2727,2.15,0.4326,21.2799,1
9,10,1,0,42.4884,-53.1301,43,47.52,23,0.0813,1.1111,2.4545,0.9049,7.3788,1
2,3,1,0,40,-90,6,2,6,0.1667,1.5,2,3,6.3246,0
14,18,1,0,60.2813,-90,96,221,47,0.0435,1.2857,1.3077,0.4344,23.1215,0
12,20,1,0,68.3898,-26.5651,59,144,45,0.0291,1.6667,3.2,0.4097,24.8277,1
11,8,1,0,58.0233,-77.4712,43,63.6,29,0.0511,1.375,1.9245,0.6761,10.8397,1
5,5,1,0,51.4706,-90,17,16,13,0.1006,1,1,1.0625,10.393,0
4,8,1,0,44.1538,-90,26,21,17,0.09,2,2.3333,1.2381,7.2205,1
21,21,1,0,45.3071,-26.5651,127,320,57,0.0391,1,1.5625,0.3969,21.6298,1
3,13,1,0,74.1579,-90,19,24,18,0.0586,4.3333,6,0.7917,38.634,1
18,14,1,0,56.0236,-48.8141,127,191.0974,47,0.0575,1.2857,1.4508,0.6646,18.177,1
10,8,1,0,44.4063,-60.2551,32,46.9692,21,0.0726,1.25,1.6512,0.6813,5.7466,1
18,16,1,0,62.6107,-56.3099,149,226.7692,49,0.0621,1.125,1.5227,0.6571,9.8384,0
3,5,1,0,36.5,-18.4349,8,5.6,8,0.125,1.6667,3.5,1.4286,3.1623,0
32,31,1,0,60.3189,-51.5819,301,805.8585,96,0.0327,1.0323,1.968,0.3735,14.548,1
20,12,1,0,54.3647,-7.125,170,194.4615,50,0.068,1.6667,2.0253,0.8742,13.3256,1
5,3,1,0,56.25,-90,12,8,10,0.12,1.6667,2,1.5,12.7574,1
10,16,1,0,90.5909,-90,66,135,35,0.0539,1.6,1.6667,0.4889,33.706,1
3,3,1,0,47.875,-90,8,4,7,0.1633,1,1,2,6.0578,0
27,38,1,2,61.4961,-52.4314,129,587.3606,73,0.0242,1.4074,2.528,0.2196,33.9172,1
12,15,1,0,39.7921,-71.5651,101,140,39,0.0664,1.25,1.7857,0.7214,14.4134,1
17,21,1,0,52.4892,-42.2737,139,227.5384,54,0.0477,1.2353,1.6609,0.6109,17.2616,0
13,40,1,0,56.1326,-90,181,468,95,0.0201,3.0769,3.25,0.3868,26.1957,1
14,8,1,0,53.7121,0,66,91,30,0.0733,1.75,1.8571,0.7253,8.512,1
3,3,1,0,50.625,-90,8,4,7,0.1633,1,1,2,8.651,0
5,9,1,0,27.3333,-90,33,32,19,0.0914,1.8,2,1.0313,3.2372,1
5,5,1,0,35.0714,-56.3099,14,13.0769,11,0.1157,1,1.7,1.0706,3.2925,0
16,18,1,0,40.5098,-40.6013,102,155.8588,45,0.0504,1.125,3.2344,0.6544,6.2628,1
10,11,1,0,58.4118,-90,85,90,32,0.083,1.1,1.1111,0.9444,13.453,1
8,8,1,0,56.3421,-45,38,40.5,19,0.1053,1,1,0.9383,11.9736,1
4,5,1,0,37,-71.565,11,10.5,10,0.11,1.25,2.1429,1.0476,3.8987,1
6,6,1,0,42.6,-45,20,20,13,0.1183,1,1.6,1,3.0157,1
9,7,1,0,68.2,-74.0546,40,45.8868,23,0.0756,1.2857,1.6842,0.8717,15.3292,1
37,35,1,0,54.392,-46.6366,426,599.5497,98,0.0444,1.0571,3.3343,0.7105,11.9968,1
6,7,1,0,56.4688,-90,32,30,17,0.1107,1.1667,1.2,1.0667,12.5441,1
3,6,1,0,35.9231,0,13,10,10,0.13,2,2.5,1.3,3.2006,0
14,14,1,0,41.8272,-45,81,138,42,0.0459,1,1.9167,0.587,9.4403,1
18,11,1,0,37.0082,-90,122,170,43,0.066,1.6364,1.7,0.7176,14.973,1
3,4,1,0,44.7143,-63.435,7,4.8,7,0.1429,1.3333,2.6667,1.4583,3.9036,0
3,2,1,0,32,-90,6,2,6,0.1667,1.5,2,3,3.2249,0
7,8,1,0,66,-18.4349,30,42,20,0.075,1.1429,1.05,0.7143,15.5519,0
31,40,1,0,64.6709,-66.8014,708,1123.9659,103,0.0667,1.2903,1.0772,0.6299,10.5514,1
38,23,1,3,43.8056,-57.1715,36,408.584,35,0.0294,1.6522,4.084,0.0881,5.1704,1
13,16,1,0,70.9297,-11.3099,128,170,41,0.0761,1.2308,1.6346,0.7529,10.6477,0
3,5,1,0,58.8333,-90,12,8,10,0.12,1.6667,2,1.5,12.5469,0
81,57,1,0,71.2483,-90,3173,4480,278,0.0411,1.4211,1.4286,0.7083,10.1203,0
2,9,1,0,48.25,-90,12,8,12,0.0833,4.5,8,1.5,12.8497,1
36,43,1,1,43.2457,-38.6598,407,1054.9757,116,0.0302,1.1944,1.3652,0.3858,29.3588,1
15,10,1,0,51.8627,-90,51,126,36,0.0394,1.5,1.5556,0.4048,40.494,1
25,8,1,0,62.7928,-90,111,168,49,0.0462,3.125,3.4286,0.6607,51.7313,1
3,9,1,0,73.3333,-7.125,12,9.1385,12,0.0833,3,7.3333,1.3131,30.7699,1
13,10,1,0,14.0339,-48.3665,59,104.9586,33,0.0542,1.3,1.9213,0.5621,18.2104,1
20,26,1,2,53.7719,-19.44,57,376.9446,49,0.0237,1.3,1.3522,0.1512,57.3862,1
2,3,1,0,38.8,-90,5,2,5,0.2,1.5,2,2.5,3.0332,1
43,30,1,0,67.2168,-35.5377,752,1066.4325,112,0.0599,1.4333,1.6606,0.7052,19.4809,0
4,3,1,0,31.75,-63.435,8,4.8,8,0.125,1.3333,2.6667,1.6667,10.5526,0
3,5,1,0,11.4615,-90,13,8,11,0.1074,1.6667,2,1.625,14.0986,1
6,3,1,0,13.7692,-90,13,10,12,0.0903,2,2.5,1.3,12.6435,1
3,3,1,0,24.625,-90,8,4,7,0.1633,1,1,2,5.2355,1
4,3,1,0,12.125,-90,8,6,8,0.125,1.3333,1.5,1.3333,8.2711,1
13,32,1,0,50.7813,-90,128,372,66,0.0294,2.4615,2.5833,0.3441,36.9313,1
88,48,1,0,71.6859,-90,2518,4089,241,0.0434,1.8333,1.8511,0.6158,12.1285,0
9,28,1,0,18.3529,-87.8789,102,195.8014,59,0.0293,3.1111,3.759,0.5209,21.2625,1
5,5,1,0,22.7368,-90,19,16,14,0.0969,1,1,1.1875,16.1136,1
5,5,1,0,22.7368,-90,19,16,14,0.0969,1,1,1.1875,16.1136,1
